time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
1.9100000000000001,-3.0,0.412589952704191,0.43485128687886015,0.4159455389305427,4.060843359587896e-05,6.61920888022548,6.598864263001522,0.47841175860932494
1.915,-3.0,0.41243412764304604,0.434136522352019,0.4156355586969017,0.00010251792741653235,6.615870439566497,6.595594950660101,0.4781768539297976
1.92,-3.0,0.4122841465328439,0.43343860333831397,0.4153356209735727,0.00016125073493310563,6.6125343087963815,6.592326577677492,0.47794183782831967
1.925,-3.0,0.41213983716092556,0.432757229310536,0.415045465567548,0.00021691780280280043,6.609200474689875,6.589059157740417,0.4777067212824057
1.93,-3.0,0.4120010313878744,0.4320921021907292,0.4147648374059794,0.0002696271036190731,6.605868924176926,6.585792704315044,0.4774715148106107
1.935,-3.0,0.4118675650783655,0.4314429264401221,0.41449348648544787,0.0003194836890131267,6.60253964434311,6.582527230647795,0.477236228487806
1.94,-3.0,0.4117392780322694,0.43080940914355614,0.4142311678197928,0.0003665897428742418,6.599212622429948,6.579262749766281,0.4770008719601693
1.945,-3.0,0.41161601391605224,0.430191260088578,0.41397764138660204,0.00041104463464115837,6.595887845835126,6.575999274480373,0.4767654544598782
1.95,-3.0,0.41149762019451314,0.4295881918393625,0.4137326720724614,0.0004529449726158215,6.592565302112607,6.572736817383386,0.47652998481950026
1.955,-3.0,0.41138394806289535,0.42899991980562735,0.4134960296170602,0.0004923846572425644,6.589244978972664,6.5694753908533725,0.4762944714860724
1.96,-3.0,0.41127485237940814,0.4284261623067002,0.41326748855624473,0.0005294549343131116,6.585926864281812,6.566215007054523,0.476058922534864
1.965,-3.0,0.4111701915981918,0.4278666406308945,0.4130468281641094,0.000564244448043684,6.582610946062671,6.5629556779386515,0.47582334568281925
1.97,-3.0,0.4110698277027577,0.42732107909034905,0.4128338323942125,0.0005968392939810149,6.579297212493735,6.559697415246775,0.47558774830167566
1.975,-3.0,0.4109736261399331,0.4267892050714821,0.41262828981999944,0.0006273230716891051,6.575985651909079,6.556440230510764,0.47535213743075533
1.98,-3.0,0.41088145575433777,0.426270749081209,0.4124299935745152,0.0006557769371767462,6.572676252797982,6.553184135055075,0.4751165197894287
1.985,-3.0,0.41079318872341875,0.4257654447890687,0.41223874128948274,0.0006822796550270162,6.569369003804491,6.549929139998542,0.4748809017892489
1.99,-3.0,0.41070870049306696,0.42527302906540243,0.4120543350338234,0.000706907650170889,6.566063893726917,6.5466752562562345,0.4746452895457576
1.995,-3.0,0.4106278697138383,0.4247932420157239,0.4118765812516906,0.0007297350592985197,6.562760911517266,6.543422494541364,0.4744096888899622
2.0,-3.0,0.4105505781778,0.42432582701141836,0.4117052907000874,0.000750833781836633,6.559460046280616,6.540170865367247,0.47417410537948695
2.005,0.0,0.41077671075602135,0.4238712807169049,0.411540278386134,0.002731350627552618,6.556161286116981,6.536920380276127,0.47393854440221816
2.0100000000000002,0.0,0.41129091533672685,0.4234307381383923,0.41138342263500177,0.00636027870349958,6.552864620226853,6.53367104959985,0.47370299239805885
2.015,0.0,0.41207837695612765,0.4230058689147754,0.411238272403332,0.011356974227859272,6.549570040594015,6.530422880684002,0.4734674219538797
2.02,0.0,0.4131248027929935,0.42259878394821565,0.4111096990595265,0.017469054882464516,6.546277543295352,6.527175876518545,0.4732317961354488
